id,year,url_live,url_wayback
00046-2016,2016,https://www.aepd.es/documento/00046-2016.pdf,https://web.archive.org/web/20240703154109id_/https://www.aepd.es/documento/00046-2016.pdf
00046-2016,2016,https://www.aepd.es/es/documento/00046-2016.pdf,https://web.archive.org/web/20230324070527id_/https://www.aepd.es/es/documento/00046-2016.pdf
00056-2016,2016,https://www.aepd.es/documento/00056-2016.pdf,https://web.archive.org/web/20240626121905id_/https://www.aepd.es/documento/00056-2016.pdf
00056-2016,2016,https://www.aepd.es/es/documento/00056-2016.pdf,https://web.archive.org/web/20221130220300id_/https://www.aepd.es/es/documento/00056-2016.pdf
00078-2016,2016,https://www.aepd.es/es/documento/00078-2016.pdf,https://web.archive.org/web/20230321052233id_/https://www.aepd.es/es/documento/00078-2016.pdf
00086-2016,2016,https://www.aepd.es/documento/00086-2016.pdf,https://web.archive.org/web/20240711204804id_/https://www.aepd.es/documento/00086-2016.pdf
00092-2016,2016,https://www.aepd.es/es/documento/00092-2016.pdf,https://web.archive.org/web/20220307211713id_/https://www.aepd.es/es/documento/00092-2016.pdf
00107-2016,2016,https://www.aepd.es/documento/00107-2016.pdf,https://web.archive.org/web/20240703214228id_/https://www.aepd.es/documento/00107-2016.pdf
00107-2016,2016,https://www.aepd.es/es/documento/00107-2016.pdf,https://web.archive.org/web/20230322025445id_/https://www.aepd.es/es/documento/00107-2016.pdf
00185-2016,2016,https://www.aepd.es/es/documento/00185-2016.pdf,https://web.archive.org/web/20220307210424id_/https://www.aepd.es/es/documento/00185-2016.pdf
00186-2016,2016,https://www.aepd.es/es/documento/00186-2016.pdf,https://web.archive.org/web/20220307210633id_/https://www.aepd.es/es/documento/00186-2016.pdf
00199-2016,2016,https://www.aepd.es/documento/00199-2016.pdf,https://web.archive.org/web/20240704103302id_/https://www.aepd.es/documento/00199-2016.pdf
00199-2016,2016,https://www.aepd.es/es/documento/00199-2016.pdf,https://web.archive.org/web/20230328123709id_/https://www.aepd.es/es/documento/00199-2016.pdf
00208-2016,2016,https://www.aepd.es/es/documento/00208-2016.pdf,https://web.archive.org/web/20220302145112id_/https://www.aepd.es/es/documento/00208-2016.pdf
00230-2016,2016,https://www.aepd.es/es/documento/00230-2016.pdf,https://web.archive.org/web/20220307210542id_/https://www.aepd.es/es/documento/00230-2016.pdf
